"PC","ExplainedVariance","CumulativeVariance"
"PC1",0.364654179443547,0.364654179443547
"PC2",0.230674005981282,0.595328185424828
"PC3",0.116795738246498,0.712123923671326
"PC4",0.107247671909029,0.819371595580355
"PC5",0.0938005095957675,0.913172105176123
"PC6",0.0463469806750832,0.959519085851206
"PC7",0.0404809141487942,1
