"FG","Dominant_traits_topk"
"FG1","GL: +1.37; HWI: +0.73; BM: +0.54"
"FG2","TR: +0.87; CS: +0.61; HB: +0.61"
"FG3","TR: -0.62; RS: -0.45; HB: -0.39"
