"Best_guess_binomial","PC1","PC2","PC3","PC4","PC5","FG"
"Abroscopus albogularis",0.958849129750085,1.80473147725797,-0.774794117773395,0.0281694221764693,0.57956576358491,"FG3"
"Abroscopus superciliaris",0.966076822371887,1.55509086129531,-0.596764955262489,-0.37546531108794,0.756904021307445,"FG3"
"Acanthagenys rufogularis",-0.385833767616766,-0.607074724589132,0.219998961150948,-0.56370166074604,0.609873666091967,"FG1"
"Acanthiza apicalis",0.383527573282227,0.680552966315434,0.239662900944774,-0.914063104730692,-0.153929496819839,"FG3"
"Acanthiza chrysorrhoa",-0.26225536340453,0.971398680547462,-0.150106388115633,-0.577283829239129,-0.0913971527809573,"FG2"
"Acanthiza nana",0.123236961996952,0.80000420251992,0.311059144193977,-0.334047116563817,-0.134990546968205,"FG2"
"Acanthiza reguloides",0.457453758053478,0.832586257708997,-0.621083995459422,-0.246351576351689,0.11745602899794,"FG3"
"Acanthiza uropygialis",0.169112954030145,0.878849245515046,-0.127125392725869,-0.647097248658076,0.498982068714231,"FG3"
"Accipiter badius",-2.62410860766681,0.0115186364174447,0.323542827327807,-0.455012860851497,0.143838535706333,"FG2"
"Accipiter bicolor",-1.6342509918511,-0.89982625018792,-0.310480105567469,-0.762930674653802,0.537900367833595,"FG1"
"Accipiter cirrocephalus",-1.55405783262848,-0.905252157382587,0.0354382780700618,0.306488511002828,0.154533382330601,"FG1"
"Accipiter cooperii",-2.58135102677466,-0.553589986021321,-0.727624697380503,0.115701197285759,-0.0203303828370723,"FG1"
"Accipiter fasciatus",-2.06403595814636,-1.12152714865026,0.299802978316725,-0.0997552452103845,-0.338446078939297,"FG1"
"Accipiter francesiae",0.0923821236491805,-1.41797464638586,-0.249229370161662,0.520168733695402,-0.453744154489411,"FG1"
"Accipiter gentilis",-3.00107051631055,-0.856451862782792,-0.885321451325596,-0.150888906403063,1.33091364967995,"FG1"
"Accipiter gularis",-2.36973906542548,-0.195451457957583,0.328714695844568,-0.124591084182906,-0.149611159937625,"FG1"
"Accipiter madagascariensis",-0.0194923740985475,-1.5128759067746,-0.218861195916662,0.530182153188066,-0.600878983097438,"FG1"
"Accipiter melanoleucus",-1.59544925975379,-1.32075455736419,-0.325117852079394,-0.0510786942850438,0.612495264798433,"FG1"
"Accipiter minullus",-0.796447249453342,-0.878952971624504,0.59496688146457,-0.494210635995122,0.767910861838741,"FG1"
"Accipiter nisus",-3.67008624125252,0.292433399932995,-0.103667959205464,-0.170678317894237,-0.406265281870782,"FG2"
"Accipiter novaehollandiae",-0.938445824678195,-1.50905843058612,-0.388119778435422,0.0335866155552976,0.14106468183987,"FG1"
