"term","Estimate","Std. Error","t value","model","metric","component"
"UI2Secondary vegetation",0.389554768951288,0.137535097108498,2.83240261679518,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Agriculture_Low",0.319705403011766,0.129984386049378,2.4595677429312,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Agriculture_High",0.260380727159348,0.144369021311468,1.80357755974248,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Urban",-0.439750717262882,0.379666843609369,-1.15825420276976,"Bray-Curtis | Total","Bray-Curtis","Total"
"pair_clim_mean",-0.29184172153223,0.165630912022149,-1.76200032934192,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Secondary vegetation:pair_clim_mean",0.0850313666702476,0.193730490802086,0.43891576549566,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Agriculture_Low:pair_clim_mean",-0.150373956360555,0.124494176174277,-1.20787944449747,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Agriculture_High:pair_clim_mean",-0.0229886476955167,0.12664557547384,-0.181519548626199,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Urban:pair_clim_mean",0.328688763099483,0.487421860904742,0.67434144724116,"Bray-Curtis | Total","Bray-Curtis","Total"
"UI2Secondary vegetation",0.411909306409689,0.158845129667306,2.593150367735,"Jaccard | Total","Jaccard","Total"
"UI2Agriculture_Low",0.314739021753118,0.150685768388719,2.08871099851445,"Jaccard | Total","Jaccard","Total"
"UI2Agriculture_High",0.243537347419422,0.167050991210304,1.45786233086655,"Jaccard | Total","Jaccard","Total"
"UI2Urban",-0.613049921940853,0.436611310171571,-1.4041091187032,"Jaccard | Total","Jaccard","Total"
"pair_clim_mean",-0.328896218118299,0.184166419647528,-1.78586421318157,"Jaccard | Total","Jaccard","Total"
"UI2Secondary vegetation:pair_clim_mean",0.0394219592348747,0.222235941812101,0.177387864957531,"Jaccard | Total","Jaccard","Total"
"UI2Agriculture_Low:pair_clim_mean",-0.0827267196334169,0.14423475629092,-0.573556067627403,"Jaccard | Total","Jaccard","Total"
"UI2Agriculture_High:pair_clim_mean",-0.00920690092973116,0.146077529702566,-0.0630274960733365,"Jaccard | Total","Jaccard","Total"
"UI2Urban:pair_clim_mean",0.296629839111736,0.561752966293956,0.528043209221818,"Jaccard | Total","Jaccard","Total"
"UI2Secondary vegetation",0.436580335575646,0.163229831241104,2.6746357100056,"Sorensen | Total","Sorensen","Total"
"UI2Agriculture_Low",0.337799387401422,0.154709322182481,2.18344559097082,"Sorensen | Total","Sorensen","Total"
"UI2Agriculture_High",0.25954009469269,0.171586677711078,1.51258884521157,"Sorensen | Total","Sorensen","Total"
"UI2Urban",-0.622119378296124,0.449059608223268,-1.38538262382933,"Sorensen | Total","Sorensen","Total"
"pair_clim_mean",-0.32112272655292,0.190993543473972,-1.68132765491458,"Sorensen | Total","Sorensen","Total"
"UI2Secondary vegetation:pair_clim_mean",0.0267224029110857,0.228737336847141,0.116825714941954,"Sorensen | Total","Sorensen","Total"
"UI2Agriculture_Low:pair_clim_mean",-0.0999377127638178,0.148100922380607,-0.674794668104673,"Sorensen | Total","Sorensen","Total"
"UI2Agriculture_High:pair_clim_mean",-0.0199252879196668,0.150149425014157,-0.132703058421889,"Sorensen | Total","Sorensen","Total"
"UI2Urban:pair_clim_mean",0.32051591726708,0.577451257081728,0.555052765642723,"Sorensen | Total","Sorensen","Total"
"UI2Secondary vegetation",0.160136697856339,0.138272771036728,1.15812170867541,"Bray-Curtis | Turnover","Bray-Curtis","Turnover"
"UI2Agriculture_Low",0.160943923354771,0.129667091202968,1.24120871272453,"Bray-Curtis | Turnover","Bray-Curtis","Turnover"
"UI2Agriculture_High",0.297191812356517,0.144578287085826,2.05557707417087,"Bray-Curtis | Turnover","Bray-Curtis","Turnover"
"UI2Urban",-0.740727948161116,0.3872464429603,-1.91280762322471,"Bray-Curtis | Turnover","Bray-Curtis","Turnover"
"pair_clim_mean",0.131680547478958,0.178142114923673,0.739188189920041,"Bray-Curtis | Turnover","Bray-Curtis","Turnover"
"UI2Secondary vegetation:pair_clim_mean",0.282433361735752,0.197406819318639,1.43071735166286,"Bray-Curtis | Turnover","Bray-Curtis","Turnover"
"UI2Agriculture_Low:pair_clim_mean",0.0286268224897967,0.124528399530182,0.229881879135998,"Bray-Curtis | Turnover","Bray-Curtis","Turnover"
"UI2Agriculture_High:pair_clim_mean",0.0463936619431925,0.127897484618696,0.362741003714867,"Bray-Curtis | Turnover","Bray-Curtis","Turnover"
"UI2Urban:pair_clim_mean",0.0147047594641108,0.495506459673332,0.029676221524549,"Bray-Curtis | Turnover","Bray-Curtis","Turnover"
"UI2Secondary vegetation",0.145345390764915,0.146324455698038,0.993308945326656,"Jaccard | Turnover","Jaccard","Turnover"
"UI2Agriculture_Low",0.026981164200119,0.137126472555424,0.196761162868925,"Jaccard | Turnover","Jaccard","Turnover"
"UI2Agriculture_High",0.310806625055496,0.152955456305247,2.03200743904965,"Jaccard | Turnover","Jaccard","Turnover"
"UI2Urban",-1.22887299620343,0.410790808066585,-2.99148124074929,"Jaccard | Turnover","Jaccard","Turnover"
"pair_clim_mean",0.289625040832764,0.189093957409556,1.53164619747986,"Jaccard | Turnover","Jaccard","Turnover"
"UI2Secondary vegetation:pair_clim_mean",0.221084658314189,0.209141339507423,1.05710644693629,"Jaccard | Turnover","Jaccard","Turnover"
"UI2Agriculture_Low:pair_clim_mean",0.0773947011591025,0.131759543671644,0.587393512472818,"Jaccard | Turnover","Jaccard","Turnover"
"UI2Agriculture_High:pair_clim_mean",-0.0731388972945067,0.135453265549561,-0.539956692795613,"Jaccard | Turnover","Jaccard","Turnover"
"UI2Urban:pair_clim_mean",-0.475968057130789,0.525543352536292,-0.905668494965733,"Jaccard | Turnover","Jaccard","Turnover"
"UI2Secondary vegetation",0.178467889613457,0.146428658280962,1.21880437687969,"Sorensen | Turnover","Sorensen","Turnover"
"UI2Agriculture_Low",0.0785559803506608,0.137322019484224,0.572056693061418,"Sorensen | Turnover","Sorensen","Turnover"
"UI2Agriculture_High",0.331693625875774,0.153140695755086,2.16594043954354,"Sorensen | Turnover","Sorensen","Turnover"
"UI2Urban",-1.20554681351245,0.411568686756483,-2.92915095901295,"Sorensen | Turnover","Sorensen","Turnover"
"pair_clim_mean",0.298701147713279,0.186751155228128,1.59946077628487,"Sorensen | Turnover","Sorensen","Turnover"
