"UI2","n_pairs","clim_min","clim_q25","clim_median","clim_q75","clim_max"
"Primary vegetation",54860,-1.05906408714384,-0.763402747592027,-0.669446389941075,-0.125659877874908,4.42911472955141
"Secondary vegetation",20329,-1.05906408714384,-0.743535965853592,-0.464942693781276,-0.290315528303884,3.42161919830704
"Agriculture_Low",17103,-1.05906408714384,-0.602421037836676,0.421008003160892,1.21981665636586,3.13526865274993
"Agriculture_High",45888,-1.05906408714384,-0.442644490679459,0.211549741106608,1.17740395728439,4.47698470868512
"Urban",9367,-0.829693834749894,-0.780237662471003,-0.428410871731846,-0.428410871731846,1.07809041867487
